tweet-id,username,date,text,like-count
at://did:plc:nf5wozymggxozbrprppefvbk/app.bsky.feed.post/3lbko5xusci2m,nmay.bsky.social,2022-08-30,Healthcare contributes around 7% of all emissions in Australia - that's more than the whole of South Australia - but healthcare must also are for those affected by climate. The populations most vulnerable to climate change are exactly those we serve #ASAFNA22 #aeromed22,0
at://did:plc:uoohvgkwaivptcw3syxeomkv/app.bsky.feed.post/3lbkj43wybu2v,alexsteffen.bsky.social,2022-08-10,day  https://www.canarymedia.com/articles/food-and-farms/this-super-tree-could-help-feed-the-world-and-fight-climate-change,0
at://did:plc:te6jk5kadvi3z5cidzjqbn3p/app.bsky.feed.post/3lblcab3dkg25,nienkehaan.bsky.social,2022-08-08,@jswatz.  https://knightcenter.utexas.edu/learn-to-cover-climate-change-and-combat-disinformation-in-a-new-knight-center-course-sign-up-now-its-free/,0
at://did:plc:nf5wozymggxozbrprppefvbk/app.bsky.feed.post/3lbknpwr25o2i,nmay.bsky.social,2022-08-30,Don't believe in climate change? Check out the difference in recorded temperatures where you are: https://showyourstripes.info/s/globe  Here's Queensland since 1901  #ASAFNA22 #aeromed22,0
at://did:plc:m4cxxxgmktzjkiknrvp4cqox/app.bsky.feed.post/3lbksnc6zjs2p,suzanneyork.bsky.social,2022-08-24,https://www.cnn.com/2022/08/22/world/switzerland-glacier-loss-climate-change/index.html,0
at://did:plc:3s5wtzqrvrsvbxl6afiko2yw/app.bsky.feed.post/3lbmhonv3762w,nameshiv.bsky.social,2022-10-14,"It's 2022, democracies are crumbling, climate change is swamping the planet so maybe it's time to put all our petty differences aside and come to an agreement on the big things and admit the dress was blue and the call said Laurel",0
at://did:plc:p62xkeer4eocbzif3ujdajla/app.bsky.feed.post/3lbm3u7i6ek2g,bernardchickey.bsky.social,2022-08-08,"Three Waters is too clever for its own good because it is s trying to solve the fundamental blockage to solving our housing, climate change and poverty problems by removing a 30-year-long-and-counting infrastructure funding restraint. 4/n",0
at://did:plc:2kpmcums7slsctgnponrmtan/app.bsky.feed.post/3lbmfq3edp622,paulgreg.bsky.social,2022-09-04,The carbon capture crux: Lessons learned  https://ieefa.org/resources/carbon-capture-crux-lessons-learned Failed/underperforming projects considerably outnumbered successful experiences. #carbon #capture #climateChange,0
at://did:plc:vqwbtbntxvnj4lyr2bhi3blx/app.bsky.feed.post/3lbmsbet6hk25,alisonbowden.bsky.social,2022-10-26,"""Where we love, what we love, who we love"" is what we should be talking about on climate change- @KHayhoe zooming in to @AdaptationForum #NAF2022 #SciComm",0
at://did:plc:wtolpdoif7eej5dqvkccql3d/app.bsky.feed.post/3lbmpjrod4t2n,garethsimkins.bsky.social,2022-10-07,"As the UK's COP presidency draws to a close, Truss is reportedly planning to ennoble Sir Michael Hintze, the billionaire moneybags behind the climate change denialist lobby group the GWPF. 🤦‍♂️...",0
