Tweet_count,Username,Followers Count,text,Created at,Likes,Retweets,Replies,Hashtags,Tweet ID,Place Name,User Location,Jahr,Monat
8,Secret Tenerife,3445,What happened to the normal weather?: I'm convinced it's that global warming / climate change agai.. http://tinyurl.com/37u7zg,Mon Oct 22 20:58:52 +0000 2007,0,0,0,,355585822,,"Tenerife, Canary Islands",2007,10
9,🇪🇺 🇮🇪 #pwME since 1973,1508,"What happened to the normal weather?: I'm convinced it's that global warming / climate change again, but n.. http://tinyurl.com/37u7zg",Mon Oct 22 20:54:33 +0000 2007,0,0,0,,355578132,,"Southsea, UK",2007,10
10,BBC News (UK),15403962,"Al Gore says his Nobel Peace Prize is a chance  to ""elevate global consciousness"" about climate change. http://tinyurl.com/yw58u5",Fri Oct 12 18:18:53 +0000 2007,0,0,0,,331353042,,London,2007,10
13,Steve Bogart 🎵,678,"Today's high: 82. Tomorrow's: 84. WTF month is this? Am I closer to the equator? This can't be Global Climate Change, Fox News tells me so.",Sun Oct 21 23:22:41 +0000 2007,0,0,0,,353233372,,Northern Virginia,2007,10
14,halfin,130548,"Reading State of Fear, amusing parallel-universe novel about a world where global warming is not real and is a conspiracy of scientists",Tue Oct 09 19:56:57 +0000 2007,452,92,9,,323569672,,"Santa Barbara, CA",2007,10
15,Amie Gillingham 🍁,2599,"What does global climate change have to do w/ fufilling a mission of peace? A science award maybe, but not the frakkin peace prize. Bah.",Fri Oct 12 12:01:02 +0000 2007,0,0,0,,330549812,,Pittsburgh,2007,10
1,Guy Kawasaki,1344687,“Death of Global Warming” Spoof Paper Dupes Climate Change Critics http://tinyurl.com/2yrx2p,Fri Nov 09 21:17:28 +0000 2007,1,0,0,,402010552,,"Silicon Valley, California",2007,11
2,Sam Dutton,4877,Warning of climate change menace: An international conference on global warming has warned time is runni.. http://tinyurl.com/25g8ga,Sat Nov 17 12:57:42 +0000 2007,0,0,0,,421482332,,London,2007,11
3,Martin Varsavsky,160898,If global warming increases plant mass.  Shouldn't climate change be self correcting?,Sun Nov 18 16:57:39 +0000 2007,3,0,0,,424005292,,"Madrid, Spain",2007,11
4,Truemors,1658,“Death of Global Warming” Spoof Paper Dupes Climate Change Critics http://tinyurl.com/3avxdx,Fri Nov 09 19:36:47 +0000 2007,0,0,0,,401812652,,,2007,11
5,ABC News,2597342,IPCC report urges swift action on global warming: The world's top scientific authority on climate change .. http://tinyurl.com/2dxjad,Sat Nov 17 07:48:33 +0000 2007,0,0,0,,421061932,,Australia,2007,11
6,Gordon Brown,4779,"Prime Minister calls for global action on climate change: Gordon Brown has called for ""vision and de.. http://tinyurl.com/3bvh7w",Mon Nov 19 14:00:08 +0000 2007,0,0,0,,426197802,,"London, UK",2007,11
7,Feeds by Haripako,429,“Death of Global Warming” Spoof Paper Dupes Climate Change Critics: UK writer David Thorpe decided to.. http://tinyurl.com/3avxdx,Fri Nov 09 20:51:15 +0000 2007,0,0,0,,401961572,,Barcelona,2007,11
8,cgsheldon,235,Digg: Global food crisis looms as climate change and fuel shortages bite:   Soaring crop prices an.. http://tinyurl.com/267tve,Sat Nov 10 09:04:55 +0000 2007,0,0,0,,403115662,,"Cape Town, South Africa",2007,11
9,geng wang,43,UN panel's projects grim global future because of climate change http://tinyurl.com/2mbncj,Sat Nov 17 20:20:06 +0000 2007,0,0,0,,422243932,,,2007,11
10,BBC World Service,562525,"Now: 18:05 GMT - World, Have Your Say - Join the global conversation about Climate Change as Ros Atkins presents a debate from the San F ...",Sat Nov 03 18:05:13 +0000 2007,0,0,0,,385951572,,,2007,11
11,newestdiscovery.com,183,www.newestdiscovery.com update: A Last Warning on Global Warming (A U.N. panel's final report on climate change underscores the imme...),Sun Nov 18 05:01:29 +0000 2007,0,0,0,,422999792,,,2007,11
12,newestdiscovery.com,183,www.newestdiscovery.com update: Clinton: Prospects in Climate Change (The battle against global warming means big economic opportuni...),Wed Nov 07 17:01:21 +0000 2007,0,0,0,,395726602,,,2007,11
13,The Globe and Mail,2021257,Globe: Canada gets its way on climate change: The Commonwealth commitments on global warming h.. http://tinyurl.com/2jp8ey,Sat Nov 24 16:34:31 +0000 2007,0,0,0,,440365242,,Canada,2007,11
14,St. Louis Post-Dispatch,304555,U.N. panel: 'Urgent' action needed on global warming: Climate change is real and is happening at an ever.. http://tinyurl.com/34omaq,Sat Nov 17 15:16:03 +0000 2007,0,0,0,,421715502,,"St. Louis, Mo.",2007,11
15,The Globe and Mail,2021257,Globe: Climate change and tourism: saving our global destinations: Bad weather can ruin a holi.. http://tinyurl.com/34khaj,Thu Nov 01 04:03:15 +0000 2007,0,0,0,,379577052,,Canada,2007,11
16,BBC News (World),41194989,"China must play its role in framing a new global deal on climate change, France's President Sarkozy says. http://tinyurl.com/376d53",Tue Nov 27 11:01:11 +0000 2007,0,0,0,,447775102,,"London, UK",2007,11
17,Peter Potter,6,I believe they live on a planet where you solve the problem by calling it climate change instead of global warming.,Sun Nov 25 20:56:13 +0000 2007,0,0,0,,443085792,,"East Aurora, New York",2007,11
18,Lebanon RSS,2241,Climate change threatens global security - Manawatu Standard http://tinyurl.com/27vvbn,Tue Nov 06 00:16:02 +0000 2007,0,0,0,,390897232,,Beirut,2007,11
19,Al Jazeera English,8931651,Stark new warning on climate change: UN panel finds global warming's impact acceleratin.. http://tinyurl.com/3988ja,Sat Nov 17 14:20:19 +0000 2007,1,0,0,,421615192,,"Doha, Qatar",2007,11
20,newestdiscovery.com,183,www.newestdiscovery.com update: A Last Warning on Global Warming (A U.N. panel's final report on climate change underscores the imme...),Sat Nov 17 22:00:09 +0000 2007,0,0,0,,422390782,,,2007,11
